Script,Code,Interval,LOTSIZ,CHG_IN_OI,CONTRACTS
NAUKRI,13751,50,125,1790.1,1291.09
NAVINFLUOR,14672,50,150,1533.78,581.3
NESTLEIND,17963,100,40,553.65,782.51
NMDC,15332,1,4500,100887.82,1074.13
NTPC,11630,2.5,5700,167814.48,1418.82
OBEROIRLTY,20242,10,700,5135.49,795.56
OFSS,10738,20,200,607.05,220.01
ONGC,2475,1,3850,177341.28,1710.43
PAGEIND,14413,500,15,196.55,549.21
PERSISTENT,18365,50,175,2381.47,960.63
PETRONET,11351,2.5,3000,27287.14,696.52
PFC,14299,2.5,6200,108587.36,1144.28
PIDILITIND,2664,20,250,4210.74,813.3
PIIND,24184,50,250,1927.19,666.91
PNB,10666,1,16000,251807.51,2744.17
POLYCAB,9590,50,300,2639.39,795.77
POWERGRID,14977,2.5,2700,101666.79,1086.32
PVR,13147,20,407,3559,1005.26
RAIN,15337,2.5,3500,17333.97,500.04
RAMCOCEM,2043,10,850,3018.87,431.57
RBLBANK,18391,2.5,5000,47132.85,2400.04
RECLTD,15355,1,8000,89497.39,1126.7
RELIANCE,2885,20,250,65333.08,12723.9
SAIL,2963,1,8000,171488.79,1665.92
SBICARD,17971,10,800,12838.33,1143.73
SBILIFE,21808,10,750,15177.57,1165.85
SBIN,3045,5,1500,198288.13,8685.6
SHREECEM,3103,250,25,261,651.68
SHRIRAMFIN,4306,20,600,11416.79,1146.52
SIEMENS,3150,50,275,2196.03,686.85
SRF,3273,20,375,2511.78,890.02
SUNPHARMA,3351,10,700,53545.36,4430.33
SUNTV,13404,5,1500,14791.14,1235.84
SYNGENE,10243,5,1000,5837.27,375.51
TATACHEM,3405,10,500,9078.41,1139.69
TATACOMM,3721,20,500,10258.78,876.9
TATACONSUM,3432,5,900,10484.42,1381.82
TATAMOTORS,3456,5,1425,112976.13,5957.63
TATAPOWER,3426,2.5,3375,103489.69,1562.09
TATASTEEL,3499,1,5500,115088.8,6784.32
TCS,11536,20,175,23370.56,5354.85
TECHM,13538,10,600,25441.09,2119.31
TITAN,3506,20,375,17225.96,2053.21
TORNTPHARM,3518,20,500,1554.22,399.68
TRENT,1964,20,400,5153.39,655.29
TVSMOTOR,8479,20,700,16556.75,1180.19
UBL,16713,20,400,3330.37,569.09
ULTRACEMCO,11532,50,100,3712.35,1767.88
UPL,11287,10,1300,25939.87,1900.17
VEDL,3063,5,2000,141016.8,3911.24
VOLTAS,3718,10,600,11619.14,1339.5
WHIRLPOOL,18011,10,350,645.14,439.77
WIPRO,3787,2.5,1500,54118.33,2296.11
ZEEL,3812,2.5,3000,59703.78,2724.88
ZYDUSLIFE,7929,5,1800,3034.35,802.76
ARVIND,193
BANKINDIA,4745
BEML,395
CASTROLIND,1250
CEATLTD,15254
CENTURYTEX,625
CESC,628
DISHTV,14537
ENGINERSIN,4907
GODREJIND,10925
HINDZINC,1424
IBREALEST,14450
ICIL,11987
IDBI,1476
IFCI,1491
IOB,9348
IRB,15313
JISLJALEQS,10397
JSWENERGY,17869
JUSTDIAL,29962
KSCL,14972
KTKBANK,8054
NCC,2319
NHPC,17400
OIL,17438
PCJEWELLER,29124
PTC,11355
RELINFRA,553
RPOWER,15259
SOUTHBANK,5948
STAR,7374
TATAELXSI,3411
UCOBANK,11223
UNIONBANK,10753
YESBANK,11915
CGPOWER,760
CHENNPETRO,2049
DCBBANK,13725
GODFRYPHLP,1181
GSFC,1247
INDIANB,14309
INFIBEAM,16249
KAJARIACER,1808
MRPL,2283
NBCC,31415
RAYMOND,2859
REPCOHOME,29598
TORNTPOWER,13786
VGUARD,15362
APLLTD,25328
NAM-INDIA,357
PFIZER,2643
FSL,14304
GSPL,13197
FORTIS,14592
HCC,1375
JPASSOCIAT,11460
DELHIVERY,9599
ATGL,6066
DMART,19913
ADANIENSOL,10217
POLICYBZR,6656
KALYANKJIL,2955
NYKAA,6545
LODHA,3220
HFCL,21951
CAMS,342
SJVN,18883
ANGELONE,324
TIINDIA,312
JIOFIN,18143
LTF,24948
BSE,19585
UNITDSPR,10447
LICI,9480
APLAPOLLO,25780
CYIENT,5748
IRFC,2029
PVRINOX,13147
HUDCO,20825
ADANIGREEN,3563
CDSL,21174
ZOMATO,5097
PRESTIGE,20302
KEI,13310
SONACOMS,4684
PAYTM,6705
KPITTECH,9683
VBL,18921
POONAWALLA,11403
SUPREMEIND,3363
MAXHEALTH,22377
JSL,11236
